Players_ID,Player_Name,Name,Surname,DOB,Turned pro,Weight,Height,Birth place,key,Nationality,Strong_hand,Weak_hand
103420,michal tabara,Michal,Tabara,1979-08-11,1997,73,175, Czech Rep.,michal tabara,CZE, Right-Handed, Two-Handed Backhand
103181,jiri vanek,Jiri,Vanek,1978-04-24,1995,86,185, Czech Republic,jiri vanek,CZE, Right-Handed, Two-Handed Backhand
103714,andreas vinciguerra,Andreas,Vinciguerra,1981-02-19,1998,73,180, Sweden,andreas vinciguerra,SWE, Left-Handed,
102567,george bastl,George,Bastl,1975-04-01,1998,85,183, Switzerland,george bastl,SUI, Right-Handed,
102238,alberto berasategui,Alberto,Berasategui,1973-06-28,1991,66,173, Spain,alberto berasategui,ESP, Right-Handed, One-Handed Backhand
101750,cristiano caratti,Cristiano,Caratti,1970-05-24,1989,77,178, Italy,cristiano caratti,ITA, Right-Handed,
101772,andrei cherkasov,Andrei,Cherkasov,1970-07-04,1988,75,180, Russia,andrei cherkasov,RUS, Right-Handed,
101962,younes el aynaoui,Younes,El Aynaoui,1971-09-12,1990,86,193, Morocco,younes el aynaoui,MAR, Right-Handed, Two-Handed Backhand
103292,gaston gaudio,Gaston,Gaudio,1978-12-09,1996,70,175, Argentina,gaston gaudio,ARG, Right-Handed, One-Handed Backhand
103017,nicolas kiefer,Nicolas,Kiefer,1977-07-05,1995,80,183, Germany,nicolas kiefer,GER, Right-Handed, Two-Handed Backhand
102548,juan antonio marin,Juan Antonio,Marin,1975-03-02,1996,73,175, Costa Rica,juan antonio marin,CRC, Right-Handed, Two-Handed Backhand
103018,max mirnyi,Max,Mirnyi,1977-07-06,1994,93,196, Belarus,max mirnyi,BLR, Right-Handed, One-Handed Backhand
102148,fabrice santoro,Fabrice,Santoro,1972-12-09,1989,74,178,Tahiti,fabrice santoro,FRA, Right-Handed, Two-Handed Backhand
102854,sjeng schalken,Sjeng,Schalken,1976-09-08,1994,82,193, The Netherlands,sjeng schalken,NED, Right-Handed, One-Handed Backhand
102783,rainer schuettler,Rainer,Schuettler,1976-04-25,1995,75,180, Germany,rainer schuettler,GER, Right-Handed, Two-Handed Backhand
102644,franco squillari,Franco,Squillari,1975-08-22,1994,80,183, Argentina,franco squillari,ARG, Left-Handed, One-Handed Backhand
102025,mikael tillstrom,Mikael,Tillstrom,1972-03-05,1991,73,185, Sweden,mikael tillstrom,SWE, Right-Handed,
101888,daniel vacek,Daniel,Vacek,1971-04-01,1990,81,191, Czech Republic,daniel vacek,CZE, Right-Handed,
102770,john van lottum,John,Van Lottum,1976-04-10,1994,72,185,Madagascar,john van lottum,NED, Right-Handed,
102607,juan balcells,Juan,Balcells,1975-06-20,1996,93,191, Spain,juan balcells,ESP, Right-Handed,
102021,michael chang,Michael,Chang,1972-02-22,1988,73,175, USA,michael chang,USA, Right-Handed, Two-Handed Backhand
103507,juan carlos ferrero,Juan Carlos,Ferrero,1980-02-12,1998,73,183, Spain,juan carlos ferrero,, Right-Handed, Two-Handed Backhand
101320,magnus gustafsson,Magnus,Gustafsson,1967-01-03,1986,78,185, Sweden,magnus gustafsson,SWE, Right-Handed,
103163,tommy haas,Tommy,Haas,1978-04-03,1996,84,188, Germany,tommy haas,GER, Right-Handed, One-Handed Backhand
102563,thomas johansson,Thomas,Johansson,1975-03-24,1994,80,180, Sweden,thomas johansson,SWE, Right-Handed, Two-Handed Backhand
102562,jiri novak,Jiri,Novak,1975-03-22,1993,86,191, Czech Republic,jiri novak,CZE, Right-Handed, Two-Handed Backhand
101820,marc rosset,Marc,Rosset,1970-11-07,1988,88,201, Switzerland,marc rosset,SUI, Right-Handed,
102103,michael sell,Michael,Sell,1972-08-23,1995,77,180, USA,michael sell,USA, Right-Handed,
102271,hicham arazi,Hicham,Arazi,1973-10-19,1993,65,175, Morocco,hicham arazi,MAR, Left-Handed,
101532,francisco clavet,Francisco,Clavet,1968-10-24,1988,71,183, Spain,francisco clavet,ESP, Left-Handed,
103096,arnaud clement,Arnaud,Clement,1977-12-17,1996,74,173, France,arnaud clement,FRA, Right-Handed, Two-Handed Backhand
102374,alex corretja,Alex,Corretja,1974-04-11,1991,73,180, Spain,alex corretja,ESP, Right-Handed, One-Handed Backhand
103103,dominik hrbaty,Dominik,Hrbaty,1978-01-04,1996,79,183, Slovakia,dominik hrbaty,SVK, Right-Handed, Two-Handed Backhand
102776,andrew ilie,Andrew,Ilie,1976-04-18,1994,78,180, Romania,andrew ilie,AUS, Right-Handed,
102905,stefan koubek,Stefan,Koubek,1977-01-02,1994,68,175, Austria,stefan koubek,AUT, Left-Handed,
102344,karol kucera,Karol,Kucera,1974-03-04,1992,77,188, Czechoslovakia,karol kucera,SVK, Right-Handed, Two-Handed Backhand
102839,nicolas lapentti,Nicolas,Lapentti,1976-08-13,1995,86,188, Ecuador,nicolas lapentti,, Right-Handed, Two-Handed Backhand
103344,ivan ljubicic,Ivan,Ljubicic,1979-03-19,1998,92,193, Bosnia-Herzegovin,ivan ljubicic,CRO, Right-Handed, One-Handed Backhand
101774,todd martin,Todd,Martin,1970-07-08,1990,91,198, USA,todd martin,USA, Right-Handed, Two-Handed Backhand
102437,adrian voinea,Adrian,Voinea,1974-08-06,1993,73,185, Romania,adrian voinea,ROU, Right-Handed, One-Handed Backhand
101736,andre agassi,Andre,Agassi,1970-04-29,1986,80,180, USA,andre agassi,USA, Right-Handed, Two-Handed Backhand
102223,karim alami,Karim,Alami,1973-05-24,1990,85,185, Morocco,karim alami,MAR, Right-Handed,
102035,jonas bjorkman,Jonas,Bjorkman,1972-03-23,1991,83,183, Sweden,jonas bjorkman,SWE, Right-Handed, Two-Handed Backhand
102286,wayne black,Wayne,Black,1973-11-14,1994,70,170, Zimbabwe,wayne black,ZIM, Right-Handed,
102179,antony dupuis,Antony,Dupuis,1973-02-24,1992,87,185, France,antony dupuis,FRA, Right-Handed,
101965,wayne ferreira,Wayne,Ferreira,1971-09-15,1989,85,185, South Africa,wayne ferreira,RSA, Right-Handed,
102422,michael hill,Michael,Hill,1974-06-30,1997,86,188, Australia,michael hill,AUS, Right-Handed,
101964,goran ivanisevic,Goran,Ivanisevic,1971-09-13,1988,82,193, Croatia,goran ivanisevic,CRO, Left-Handed, Two-Handed Backhand
102338,yevgeny kafelnikov,Yevgeny,Kafelnikov,1974-02-18,1992,84,191, Russia,yevgeny kafelnikov,RUS, Right-Handed, Two-Handed Backhand
101990,richard krajicek,Richard,Krajicek,1971-12-06,1989,89,196, The Netherlands,richard krajicek,NED, Right-Handed,
102466,jan kroslak,Jan,Kroslak,1974-10-17,1993,77,188, Slovak Republic,jan kroslak,SVK, Right-Handed,
103566,michael llodra,Michael,Llodra,1980-05-18,1999,80,191, France,michael llodra,FRA, Left-Handed, One-Handed Backhand
102882,mark philippoussis,Mark,Philippoussis,1976-11-07,1994,103,196, Australia,mark philippoussis,AUS, Right-Handed, One-Handed Backhand
102287,albert portas,Albert,Portas,1973-11-15,1994,78,188, Spain,albert portas,ESP, Right-Handed, Two-Handed Backhand
101150,gianluca pozzi,Gianluca,Pozzi,1965-06-17,1984,80,180, Italy,gianluca pozzi,ITA, Left-Handed,
102809,axel pretzsch,Axel,Pretzsch,1976-06-16,1996,79,185, Germany,axel pretzsch,GER, Right-Handed,
103294,christophe rochus,Christophe,Rochus,1978-12-15,1996,68,170, Belgium,christophe rochus,BEL, Right-Handed, One-Handed Backhand
101948,pete sampras,Pete,Sampras,1971-08-12,1988,77,185, USA,pete sampras,USA, Right-Handed, One-Handed Backhand
103171,raemon sluiter,Raemon,Sluiter,1978-04-13,1996,80,185, The Netherlands,raemon sluiter,NED, Right-Handed, Two-Handed Backhand
103387,paradorn srichaphan,Paradorn,Srichaphan,1979-06-14,1997,82,185, Thailand,paradorn srichaphan,THA, Right-Handed, One-Handed Backhand
101917,grant stafford,Grant,Stafford,1971-05-27,1990,79,188, South Africa,grant stafford,RSA, Right-Handed,
102133,laurence tieleman,Laurence,Tieleman,1972-11-14,1993,75,180, Belgium,laurence tieleman,ITA, Right-Handed,
102061,kevin ullyett,Kevin,Ullyett,1972-05-23,1990,77,178, Zimbabwe,kevin ullyett,ZIM, Right-Handed,
102950,fernando vicente,Fernando,Vicente,1977-03-08,1996,76,180, Spain,fernando vicente,ESP, Right-Handed, One-Handed Backhand
101889,todd woodbridge,Todd,Woodbridge,1971-04-02,1988,75,178, Australia,todd woodbridge,AUS, Right-Handed,
101185,mark woodforde,Mark,Woodforde,1965-09-23,1984,88,188, Australia,mark woodforde,AUS, Left-Handed, Two-Handed Backhand
102162,chris woodruff,Chris,Woodruff,1973-01-02,1993,82,188, USA,chris woodruff,USA, Right-Handed,
103151,mariano zabaleta,Mariano,Zabaleta,1978-02-28,1996,77,183, Argentina,mariano zabaleta,ARG, Right-Handed, One-Handed Backhand
102869,galo blanco,Galo,Blanco,1976-10-08,1995,70,175, Spain,galo blanco,ESP, Right-Handed,
102610,albert costa,Albert,Costa,1975-06-25,1993,78,180, Spain,albert costa,ESP, Right-Handed, One-Handed Backhand
102456,felix mantilla,Felix,Mantilla,1974-09-23,1993,78,180, Spain,felix mantilla,ESP, Right-Handed, One-Handed Backhand
102318,andrei pavel,Andrei,Pavel,1974-01-27,1995,90,183, Romania,andrei pavel,ROU, Right-Handed,
102831,jacobo diaz,Jacobo,Diaz,1976-07-11,1995,73,173, Spain,jacobo diaz,ESP, Right-Handed,
101945,thierry guardiola,Thierry,Guardiola,1971-08-07,1989,74,188, France,thierry guardiola,FRA, Right-Handed,
102201,lionel roux,Lionel,Roux,1973-04-12,1991,79,185, France,lionel roux,FRA, Right-Handed,
101733,jan siemerink,Jan,Siemerink,1970-04-14,1989,73,183, Netherlands,jan siemerink,NED, Left-Handed,
101793,jim courier,Jim,Courier,1970-08-17,1988,83,185, USA,jim courier,USA, Right-Handed,
102925,justin gimelstob,Justin,Gimelstob,1977-01-26,1996,88,196, USA,justin gimelstob,USA, Right-Handed, One-Handed Backhand
102834,paul goldstein,Paul,Goldstein,1976-08-04,1998,72,178, USA,paul goldstein,USA, Right-Handed,
102024,hernan gumy,Hernan,Gumy,1972-03-05,1991,91,188, Argentina,hernan gumy,ARG, Right-Handed,
101723,magnus larsson,Magnus,Larsson,1970-03-25,1989,93,193, Sweden,magnus larsson,SWE, Right-Handed,
102395,ville liukko,Ville,Liukko,1974-05-24,1995,71,173, Finland,ville liukko,FIN, Right-Handed,
103598,xavier malisse,Xavier,Malisse,1980-07-19,1998,83,185, Belgium,xavier malisse,, Right-Handed, Two-Handed Backhand
102821,cecil mamiit,Cecil,Mamiit,1976-06-27,1996,70,173, USA,cecil mamiit,PHI, Right-Handed,
102227,sargis sargsian,Sargis,Sargsian,1973-06-03,1995,75,180, Armenia,sargis sargsian,ARM, Right-Handed,
102720,tomas zib,Tomas,Zib,1976-01-31,1995,76,178, Czech Republic,tomas zib,, Right-Handed, Two-Handed Backhand
103248,harel levy,Harel,Levy,1978-08-05,1995,82,185, Israel,harel levy,ISR, Right-Handed,
102053,brian macphie,Brian,MacPhie,1972-05-11,1993,82,180, USA,brian macphie,USA, Left-Handed,
103454,nicolas massu,Nicolas,Massu,1979-10-10,1997,80,183, Chile,nicolas massu,CHI, Right-Handed, Two-Handed Backhand
102880,alexander popp,Alexander,Popp,1976-11-04,1997,85,201, Germany,alexander popp,GER, Right-Handed,
101191,richey reneberg,Richey,Reneberg,1965-10-05,1987,77,180, USA,richey reneberg,USA, Right-Handed,
101675,martin rodriguez,Martin,Rodriguez,1969-12-18,1991,75,178, Argentina,martin rodriguez,ARG, Right-Handed,
102987,andre sa,Andre,Sa,1977-05-06,1996,79,185, Brazil,andre sa,BRA, Right-Handed, Two-Handed Backhand
102269,jeff salzenstein,Jeff,Salzenstein,1973-10-14,1996,79,185, USA,jeff salzenstein,USA, Left-Handed,
101647,byron black,Byron,Black,1969-10-06,1991,70,175, Zimbabwe,byron black,ZIM, Right-Handed,
102029,filip dewulf,Filip,Dewulf,1972-03-15,1990,80,191, Belgium,filip dewulf,BEL, Right-Handed,
102257,greg rusedski,Greg,Rusedski,1973-09-06,1991,91,193, Canada,greg rusedski,GBR, Left-Handed,
103193,peter wessels,Peter,Wessels,1978-05-07,1996,85,196, The Netherlands,peter wessels,NED, Right-Handed, One-Handed Backhand
102642,cyril saulnier,Cyril,Saulnier,1975-08-16,1996,84,191, France,cyril saulnier,FRA, Right-Handed,
101543,jeff tarango,Jeff,Tarango,1968-11-20,1989,73,180, USA,jeff tarango,USA, Left-Handed,
103084,guillermo canas,Guillermo,Canas,1977-11-25,1995,86,185, Argentina,guillermo canas,ARG, Right-Handed, Two-Handed Backhand
103428,juan ignacio chela,Juan Ignacio,Chela,1979-08-30,1998,75,191, Argentina,juan ignacio chela,ARG, Right-Handed, Two-Handed Backhand
103060,alejandro hernandez,Alejandro,Hernandez,1977-10-01,1995,79,180, Mexico,alejandro hernandez,MEX, Right-Handed,
102856,gustavo kuerten,Gustavo,Kuerten,1976-09-10,1995,83,191, Brazil,gustavo kuerten,BRA, Right-Handed, One-Handed Backhand
101897,fernando meligeni,Fernando,Meligeni,1971-04-12,1990,64,180, Argentina,fernando meligeni,BRA, Left-Handed,
103264,mariano puerta,Mariano,Puerta,1978-09-19,1998,78,180, ARG,mariano puerta,ARG, Left-Handed, One-Handed Backhand
102730,ivo heuberger,Ivo,Heuberger,1976-02-19,1995,77,188, Switzerland,ivo heuberger,SUI, Right-Handed, Two-Handed Backhand
103498,marat safin,Marat,Safin,1980-01-27,1997,88,193, Russia,marat safin,RUS, Right-Handed, Two-Handed Backhand
103185,mike bryan,Mike,Bryan,1978-04-29,1998,82,188, USA,mike bryan,USA, Right-Handed, One-Handed Backhand
102231,alex calatrava,Alex,Calatrava,1973-06-14,1993,82,191, Germany,alex calatrava,ESP, Right-Handed, One-Handed Backhand
103182,markus hipfl,Markus,Hipfl,1978-04-26,1995,74,178, Austria,markus hipfl,AUT, Right-Handed,
102158,patrick rafter,Patrick,Rafter,1972-12-28,1991,86,185, Australia,patrick rafter,AUS, Right-Handed, One-Handed Backhand
102135,emilio benfele alvarez,Emilio,Benfele Alvarez,1972-11-15,1989,85,183, Spain,emilio benfele alvarez,ESP, Right-Handed,
102860,agustin calleri,Agustin,Calleri,1976-09-14,1995,86,183, Argentina,agustin calleri,ARG, Right-Handed, One-Handed Backhand
103201,adrian garcia,Adrian,Garcia,1978-05-25,1998,69,175, Chile,adrian garcia,CHI, Right-Handed,
102251,mariano hood,Mariano,Hood,1973-08-14,1993,70,178, Argentina,mariano hood,ARG, Left-Handed,
102539,bohdan ulihrach,Bohdan,Ulihrach,1975-02-23,1993,81,188, Czech Republic,bohdan ulihrach,CZE, Right-Handed,
103324,arnaud di pasquale,Arnaud,Di Pasquale,1979-02-11,1998,80,185, Morocco,arnaud di pasquale,FRA, Right-Handed, One-Handed Backhand
102477,gaston etlis,Gaston,Etlis,1974-11-04,1993,76,185, Argentina,gaston etlis,ARG, Right-Handed,
102585,sebastian prieto,Sebastian,Prieto,1975-05-19,1996,75,180, Argentina,sebastian prieto,ARG, Right-Handed,
102845,carlos moya,Carlos,Moya,1976-08-27,1995,86,191, Spain,carlos moya,ESP, Right-Handed, Two-Handed Backhand
102701,marcelo rios,Marcelo,Rios,1975-12-26,1994,73,175, Chile,marcelo rios,CHI, Left-Handed, Two-Handed Backhand
101885,wayne arthurs,Wayne,Arthurs,1971-03-18,1990,80,191, Australia,wayne arthurs,AUS, Left-Handed,
103888,mardy fish,Mardy,Fish,1981-12-09,2000,82,188, USA,mardy fish,USA, Right-Handed, Two-Handed Backhand
103356,michel kratochvil,Michel,Kratochvil,1979-04-07,1997,77,185, Switzerland,michel kratochvil,SUI, Right-Handed,
102446,andrei medvedev,Andrei,Medvedev,1974-08-31,1991,91,193, Ukraine,andrei medvedev,UKR, Right-Handed,
104053,andy roddick,Andy,Roddick,1982-08-30,2000,88,188, USA,andy roddick,USA, Right-Handed, Two-Handed Backhand
103031,julian alonso,Julian,Alonso,1977-08-02,1996,82,185, Spain,julian alonso,ESP, Right-Handed,
101902,stephane huet,Stephane,Huet,1971-04-25,1990,73,180, France,stephane huet,FRA, Left-Handed,
101843,sergi bruguera,Sergi,Bruguera,1971-01-16,1988,76,188, Spain,sergi bruguera,ESP, Right-Handed,
102934,nicolas coutelot,Nicolas,Coutelot,1977-02-09,1996,79,185, France,nicolas coutelot,FRA, Right-Handed,
101826,alex lopez moron,Alex,Lopez Moron,1970-11-28,1990,70,175, Spain,alex lopez moron,ESP, Right-Handed,
103045,reginald willems,Reginald,Willems,1977-09-06,1996,78,180, Belgium,reginald willems,BEL, Right-Handed,
102687,herbert wiltschnig,Herbert,Wiltschnig,1975-11-21,1995,79,185, Austria,herbert wiltschnig,AUT, Right-Handed,
102369,julien boutter,Julien,Boutter,1974-04-05,1996,86,191, France,julien boutter,FRA, Right-Handed,
102104,christian ruud,Christian,Ruud,1972-08-24,1991,75,188, Norway,christian ruud,NOR, Right-Handed,
102910,salvador navarro,Salvador,Navarro,1977-01-08,1995,73,180, Spain,salvador navarro,ESP, Right-Handed,
103909,guillermo coria,Guillermo,Coria,1982-01-13,2000,69,175, Argentina,guillermo coria,ARG, Right-Handed, Two-Handed Backhand
102768,federico browne,Federico,Browne,1976-04-07,1994,82,180, Argentina,federico browne,ARG, Right-Handed,
102887,ramon delgado,Ramon,Delgado,1976-11-14,1995,79,185, Paraguay,ramon delgado,PAR, Right-Handed, Two-Handed Backhand
103602,fernando gonzalez,Fernando,Gonzalez,1980-07-29,1999,82,183, Chile,fernando gonzalez,CHI, Right-Handed, One-Handed Backhand
103188,michael russell,Michael,Russell,1978-05-01,1998,70,173, USA,michael russell,USA, Right-Handed, Two-Handed Backhand
103009,razvan sabau,Razvan,Sabau,1977-06-18,1993,76,185, Romania,razvan sabau,ROU, Right-Handed,
102306,michael kohlmann,Michael,Kohlmann,1974-01-11,1995,84,188, Germany,michael kohlmann,GER, Right-Handed,
102247,andrea gaudenzi,Andrea,Gaudenzi,1973-07-30,1990,84,183, Italy,andrea gaudenzi,ITA, Right-Handed,
102243,marcelo charpentier,Marcelo,Charpentier,1973-07-11,1992,75,180, Argentina,marcelo charpentier,ARG, Left-Handed,
102381,werner eschauer,Werner,Eschauer,1974-04-26,1998,76,188, Austria,werner eschauer,AUT, Right-Handed, Two-Handed Backhand
102722,attila savolt,Attila,Savolt,1976-02-05,1995,78,183, Hungary,attila savolt,HUN, Right-Handed,
102629,oscar burrieza lopez,Oscar,Burrieza-Lopez,1975-07-22,1994,66,170, Spain,oscar burrieza lopez,ESP, Right-Handed, Two-Handed Backhand
102184,david prinosil,David,Prinosil,1973-03-09,1991,82,185, Czech Republic,david prinosil,GER, Right-Handed,
103184,bob bryan,Bob,Bryan,1978-04-29,1998,88,193, USA,bob bryan,USA, Left-Handed, One-Handed Backhand
102533,jens knippschild,Jens,Knippschild,1975-02-15,1992,82,191, Germany,jens knippschild,GER, Right-Handed,
102110,daniel nestor,Daniel,Nestor,1972-09-04,1991,86,191, Serbia,daniel nestor,CAN, Left-Handed, Two-Handed Backhand
103157,arvind parmar,Arvind,Parmar,1978-03-22,1997,78,193, England,arvind parmar,GBR, Right-Handed,
101609,david wheaton,David,Wheaton,1969-06-02,1988,84,193, MN,david wheaton,USA, Right-Handed,
102443,barry cowan,Barry,Cowan,1974-08-25,1991,78,188, England,barry cowan,GBR, Left-Handed,
101373,karsten braasch,Karsten,Braasch,1967-07-14,1987,73,180, Germany,karsten braasch,GER, Left-Handed,
104022,mikhail youzhny,Mikhail,Youzhny,1982-06-25,1999,73,183, Russia,mikhail youzhny,RUS, Right-Handed, One-Handed Backhand
103198,justin bower,Justin,Bower,1978-05-23,,79,191, South Africa,justin bower,RSA, Left-Handed,
102524,neville godwin,Neville,Godwin,1975-01-31,1994,73,173, South Africa,neville godwin,RSA, Right-Handed,
102205,sebastien lareau,Sebastien,Lareau,1973-04-27,1991,79,183, Canada,sebastien lareau,CAN, Right-Handed,
103114,martin lee,Martin,Lee,1978-01-13,1996,75,180, England,martin lee,GBR, Left-Handed,
101711,alex obrien,Alex,O'Brien,1970-03-07,1992,88,185, USA,alex obrien,USA, Right-Handed,
103694,olivier rochus,Olivier,Rochus,1981-01-18,1999,65,168, Belgium,olivier rochus,BEL, Right-Handed, One-Handed Backhand
102434,vincent spadea,Vincent,Spadea,1974-07-19,1993,77,183, USA,vincent spadea,, Right-Handed, Two-Handed Backhand
103166,vladimir voltchkov,Vladimir,Voltchkov,1978-04-07,1995,76,180, Belarus,vladimir voltchkov,BLR, Right-Handed,
102401,scott draper,Scott,Draper,1974-06-05,1993,77,178, Australia,scott draper,AUS, Left-Handed, One-Handed Backhand
103786,nikolay davydenko,Nikolay,Davydenko,1981-06-02,1999,70,178, Ukraine,nikolay davydenko,RUS, Right-Handed, Two-Handed Backhand
102817,edwin kempes,Edwin,Kempes,1976-06-23,1995,73,188, Netherlands,edwin kempes,NED, Right-Handed,
103373,sergio roitman,Sergio,Roitman,1979-05-16,1996,79,185, Argentina,sergio roitman,ARG, Right-Handed,
102615,dennis van scheppingen,Dennis,Van Scheppingen,1975-07-05,1993,80,185, The Netherlands,dennis van scheppingen,NED, Right-Handed,
103305,daniel elsner,Daniel,Elsner,1979-01-04,1997,80,183, Germany,daniel elsner,GER, Right-Handed,
101806,marc kevin goellner,Marc-Kevin,Goellner,1970-09-22,1991,81,196, Brazil,marc kevin goellner,GER, Right-Handed,
102650,roberto carretero,Roberto,Carretero,1975-08-30,1993,91,178, Spain,roberto carretero,ESP, Right-Handed,
101997,marzio martelli,Marzio,Martelli,1971-12-14,1996,79,180, Italy,marzio martelli,ITA, Right-Handed,
102153,german puentes,German,Puentes,1972-12-18,1995,70,173, Spain,german puentes,ESP, Right-Handed,
103176,david sanchez,David,Sanchez,1978-04-20,1997,76,183, Spain,david sanchez,ESP, Right-Handed,
102753,wolfgang schranz,Wolfgang,Schranz,1976-03-19,1994,73,178, Austria,wolfgang schranz,AUT, Right-Handed,
103487,federico luzzi,Federico,Luzzi,1980-01-03,1999,80,188, Italy,federico luzzi,ITA, Right-Handed,
103908,paul henri mathieu,Paul-Henri,Mathieu,1982-01-12,1999,74,185, France,paul henri mathieu,FRA, Right-Handed, Two-Handed Backhand
102300,gouichi motomura,Gouichi,Motomura,1973-12-25,1992,64,173, Japan,gouichi motomura,JPN, Right-Handed,
101746,renzo furlan,Renzo,Furlan,1970-05-17,1988,70,175, Italy,renzo furlan,ITA, Right-Handed,
101717,diego nargiso,Diego,Nargiso,1970-03-15,1987,82,188, Italy,diego nargiso,ITA, Left-Handed,
102911,andrei stoliarov,Andrei,Stoliarov,1977-01-09,1995,72,178, Russia,andrei stoliarov,RUS, Right-Handed,
103225,simon larose,Simon,Larose,1978-06-28,1998,86,191, Canada,simon larose,CAN, Right-Handed,
103758,taylor dent,Taylor,Dent,1981-04-24,1998,88,188, USA,taylor dent,USA, Right-Handed, One-Handed Backhand
103270,kristian capalik,Kristian,Capalik,1978-10-03,,79,188, Bosnia,kristian capalik,USA, Right-Handed,
103240,kevin kim,Kevin,Kim,1978-07-26,1997,75,180, U.S.A.,kevin kim,USA, Right-Handed, One-Handed Backhand
102558,eric taino,Eric,Taino,1975-03-18,1997,75,175, USA,eric taino,PHI, Left-Handed,
103457,petr kralert,Petr,Kralert,1979-10-20,1997,75,188, Czech Republic,petr kralert,CZE, Right-Handed,
102703,hyung taik lee,Hyung-Taik,Lee,1976-01-03,1995,82,180, Korea,hyung taik lee,KOR, Right-Handed, One-Handed Backhand
102375,dinu pescariu,Dinu,Pescariu,1974-04-12,,76,185, Romania,dinu pescariu,ROU, Right-Handed,
102968,jonathan erlich,Jonathan,Erlich,1977-04-05,1996,78,178, Argentina,jonathan erlich,ISR, Right-Handed,
102738,stefano tarallo,Stefano,Tarallo,1976-03-08,1996,75,185, Italy,stefano tarallo,, Right-Handed,
102808,kalle flygt,Kalle,Flygt,1976-06-15,,,,,kalle flygt,SWE, Right-Handed,
102904,leos friedl,Leos,Friedl,1977-01-01,1997,80,183, Cz Republic,leos friedl,CZE, Right-Handed,
